PERMNO,bankruptcy_dt
10011,26-07-1999
10012,11-02-1987
10013,10-09-1987
10039,26-03-2002
10045,05-03-1987
10047,10-01-1995
10047,04-01-2000
10048,02-07-2002
10055,02-04-1996
10074,23-02-1996
10076,26-02-1990
10077,27-11-1991
10084,16-10-1997
10091,08-03-2002
10092,06-04-2011
10099,01-01-1988
10114,02-09-2004
10118,07-11-1997
10125,30-08-1991
10141,04-09-1996
10152,30-04-1990
10153,29-06-1987
10167,27-04-1987
10169,01-01-1989
10174,26-02-1993
10175,26-02-1992
10175,06-10-1998
10178,26-02-1999
10178,04-06-2001
10183,13-07-1987
10190,05-09-1991
10191,13-07-1990
10216,01-05-2001
10217,08-12-1999
10222,12-12-1995
10247,12-11-1993
10247,28-12-1999
10249,06-04-1989
10264,21-03-1989
10269,23-07-1984
10281,02-02-2000
10282,22-11-1992
10282,01-05-1996
10283,01-01-1988
10285,17-01-1992
10304,20-08-2010
10306,21-05-1984
10311,10-08-1988
10320,01-11-1990
10325,18-05-2001
10326,27-02-1998
10329,15-12-1992
10354,03-04-1992
10357,01-01-1984
10361,27-03-1996
10362,05-06-2009
10364,09-08-2005
10365,01-07-1985
10373,01-01-1987
10388,04-09-2003
10397,12-06-2006
10403,16-05-1988
10412,10-03-2000
10434,13-01-1998
10468,22-11-1988
10480,01-06-1986
10489,28-03-1988
10496,05-05-1999
10504,05-12-1991
10504,28-10-1996
10511,21-09-1989
10531,07-12-2000
10535,12-04-1989
10554,06-08-1987
10555,14-07-1987
10556,07-06-1991
10557,27-02-1995
10563,11-01-2010
10564,28-06-2002
10573,09-02-1998
10577,24-05-1988
10601,26-05-1988
10608,15-02-2007
10611,09-10-1998
10621,17-01-1983
10625,16-12-1991
10634,08-10-1997
10642,07-03-1988
10652,17-07-1996
10653,15-02-1991
10656,20-09-2019
10678,12-06-1988
10679,13-11-1987
10699,03-06-1986
10701,04-10-1991
10708,27-07-1988
10745,05-06-2001
10750,09-08-2000
10753,06-07-2005
10763,16-11-1993
10786,15-10-2001
10791,09-05-2006
10805,13-06-1990
10816,01-01-1984
10824,05-06-1987
10826,25-04-1988
10840,30-07-1990
10846,09-02-1988
10863,22-01-2001
10863,28-01-2002
10870,23-11-1998
10878,18-09-2003
10879,22-04-1997
10881,08-12-2015
10919,30-07-1987
10928,28-08-2003
10934,31-10-1989
10963,12-10-2004
10971,14-04-1981
10988,13-11-2000
10994,27-12-2011
10996,27-10-1987
11023,01-08-1990
11024,01-01-1988
11040,09-04-2001
11042,22-07-2002
11048,29-07-2010
11049,04-04-1989
11072,25-09-2003
11080,22-11-1993
11088,05-12-2000
11103,03-05-2000
11106,06-04-2001
11106,10-09-2003
11112,01-01-1989
11119,26-02-1999
11125,16-03-1989
11127,01-01-1988
11139,09-12-2003
11148,01-01-1988
11149,02-05-2002
11158,26-07-1988
11159,26-08-2003
11160,28-01-1993
11161,20-07-2010
11162,06-01-2010
11169,29-03-1993
11188,28-03-1990
11197,28-11-2001
11200,01-01-1984
11215,20-10-2001
11217,14-01-1997
11224,01-01-1988
11226,28-12-1989
11239,15-06-1990
11245,01-01-1985
11259,01-05-1995
11278,21-02-2008
11302,08-12-1989
11306,15-02-2011
11309,01-02-1983
11315,12-02-2007
11315,28-07-2011
11317,16-08-1984
11337,01-01-1989
11340,31-07-1991
11340,22-11-1995
11342,17-02-2004
11344,13-05-1994
11344,01-12-1995
11351,06-02-1989
11358,01-09-2005
11360,26-10-1984
11365,24-08-2001
11384,28-02-2008
11401,16-09-2003
11405,06-10-1998
11428,01-01-1990
11435,28-09-1988
11447,23-02-2001
11453,13-12-1993
11453,17-05-1996
11459,11-08-2000
11477,02-06-1998
11477,09-05-2002
11478,11-05-2016
11479,18-05-1999
11483,29-12-2006
11484,13-04-2000
11491,01-01-1990
11492,16-03-1998
11496,18-08-2006
11508,27-03-2002
11523,04-06-1992
11549,11-01-1993
11557,08-05-1989
11560,15-04-1994
11564,22-02-1988
11573,11-01-2008
11601,02-07-2013
11605,26-06-1989
11607,06-03-2006
11613,08-08-1989
11616,01-01-1983
11617,08-06-1993
11621,29-01-1990
11640,15-02-1991
11651,02-04-1998
11662,16-06-2000
11662,15-08-2008
11665,16-01-2004
11673,26-01-1995
11673,29-08-1996
11681,28-12-2006
11693,24-04-1989
11696,03-05-1988
11697,15-08-1990
11725,05-08-1997
11728,19-03-2004
11741,28-02-2005
11747,30-01-1991
11747,04-02-2002
11754,19-01-2012
11755,30-01-1984
11756,22-07-1988
11760,17-03-2003
11792,28-05-1993
11798,01-01-1982
11804,02-03-1989
11827,19-02-1987
11829,20-01-1989
11834,26-06-1972
11838,28-12-2001
11843,01-06-1992
11852,05-12-2000
11854,13-08-2004
11865,19-12-1989
11868,12-09-1997
11874,16-01-2001
11881,02-03-2009
11887,18-01-2000
11887,01-03-2001
11889,15-11-1989
11895,11-10-2002
11898,03-01-1996
11918,14-07-1999
